"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","test","chromium","2026-09-02","passed","2026-09-02","","test-1.spec.ts","",""
"","6163","data entry","firefox","2026-09-02","passed","2026-09-02","","datentry.spec.js","",""
"","925","get started link","webkit","2026-09-02","passed","2026-09-02","","example.spec.js","",""
"","300","test","webkit","2026-09-02","passed","2026-09-02","","test-1.spec.ts","",""
"","4879","data entry","webkit","2026-09-02","passed","2026-09-02","","datentry.spec.js","",""
"","1499","has title","firefox","2026-09-02","passed","2026-09-02","","example.spec.js","",""
"","578","has title","chromium","2026-09-02","passed","2026-09-02","","example.spec.js","",""
"","1164","has title","webkit","2026-09-02","passed","2026-09-02","","example.spec.js","",""
"","4936","data entry","chromium","2026-09-02","passed","2026-09-02","","datentry.spec.js","",""
"","1674","get started link","firefox","2026-09-02","passed","2026-09-02","","example.spec.js","",""
"","1237","test","firefox","2026-09-02","passed","2026-09-02","","test-1.spec.ts","",""
"","735","get started link","chromium","2026-09-02","passed","2026-09-02","","example.spec.js","",""
